route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B,L1S3-B-1086-S03_091050_B..N65R,L1S3,Bedford Park Blvd,0,
B,L1S3-B-1086-S03_091850_B..N65R,L1S3,Bedford Park Blvd,0,
G,L1S3-G-1055-S15_001300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_001400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_002450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_003300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_003400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_004200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_004450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_005300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_005400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_006200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_006450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_007300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_007400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_008200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_008450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_009300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_009400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_010200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_010450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_011300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_011400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_012200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_012450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_013300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_013400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_014200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_014450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_015300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_015400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_016200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_016450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_017300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_017400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_018200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_018450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_019300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_019400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_020200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_020450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_021300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_021400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_022200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_022450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_023300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_023400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_024200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_024450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_025300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_025500_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_026200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_026450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_027300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_027400_G..S14X009,L1S3,Bedford-Nostrand Avs,1,
G,L1S3-G-1055-S15_028200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_028450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_029300_G..S19X002,L1S3,Hoyt-Schermerhorn Sts,1,
G,L1S3-G-1055-S15_029400_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_030200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_030400_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_030450_G..N19X002,L1S3,Bedford-Nostrand Avs,0,
G,L1S3-G-1055-S15_031400_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_031750_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_032200_G..N14X009,L1S3,Court Sq,0,
G,L1S3-G-1055-S15_032400_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_033000_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_033600_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_034100_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_034850_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_035200_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_035900_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_036000_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_036650_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_037400_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_037450_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_038050_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_038400_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_038800_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_039500_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_039500_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_040500_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_040550_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_041250_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_041350_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_041900_G..N14R,L1S3,Court Sq,0,G..N14R
G,L1S3-G-1055-S15_042100_G..S14R,L1S3,Church Av,1,G..S14R
G,L1S3-G-1055-S15_042550_G..N14R,L1S3,Court Sq,0,G..N14R
